Altium Designer Pick and Place Locations
C:\Users\ensar\OneDrive\Masaüstü\VACU\Roll_Min\Roll_Min-Trunk\DONANIM\TASARIM\CAD\PRJ\Project Outputs for Roll_Min_R01\Pick Place\Pick Place for Roll_Min_R01.csv

========================================================================================================================
File Design Information:

Date:       19.11.25
Time:       15:11
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"RL3","12V 10A 85C","TopLayer","JS1","44.5100","-14.0359","90",""
"R43","470R","TopLayer","R1206","0.3065","-71.5811","180","RESISTOR , 470R, 0.25W, 1%, 1206 PACKAGE"
"R8","5K1","TopLayer","R1206","57.7740","-73.6992","90","RESISTOR , 5K1, 1/4W, 1%, 1206 PACKAGE"
"C2","100nF","TopLayer","C1206","60.2740","-73.6992","270","CAPACITOR, CERAMIC, 100nF, 50V, 10% TOLERANCE, X7R, 1206 PACKAGE"
"R42","5K1","TopLayer","R1206","55.2740","-73.6992","270","RESISTOR , 5K1, 1/4W, 1%, 1206 PACKAGE"
"ISITICI","1730395","TopLayer","1730395","68.6120","-74.8892","270","CONN,RECT,PLUG,5.08MM,1ROW,2P-TH,1730395"
"R34","5K1","TopLayer","R1206","67.3674","-94.7588","270","RESISTOR , 5K1, 1/4W, 1%, 1206 PACKAGE"
"VD1","Vida 3mm","TopLayer","Vida_3mm","71.8667","-125.6813","0","Vida 3mm"
"TP5","Test Point","TopLayer","TESTPIN","25.8420","-61.7922","180",""
"TP4","Test Point","TopLayer","TESTPIN","23.3020","-61.7923","180",""
"TP3","Test Point","TopLayer","TESTPIN","15.6820","-61.7922","180",""
"TP1","Test Point","TopLayer","TESTPIN","13.1420","-61.7922","180",""
"TP2","Test Point","TopLayer","TESTPIN","10.6020","-61.7923","180",""
"T1","BTA41-800BRG","TopLayer","TO247AC","40.9424","-111.2336","0","BTA41"
"R41","33K %5","TopLayer","RCA0516","26.8424","-123.0286","0",""
"R40","470R","TopLayer","R1206","69.1424","-120.2445","270","RESISTOR , 470R, 0.25W, 1%, 1206 PACKAGE"
"R39","510R %5","TopLayer","RCA0411","49.8324","-123.0286","180",""
"R38","5K1","TopLayer","R1206","66.3424","-120.2445","90","RESISTOR , 5K1, 1/4W, 1%, 1206 PACKAGE"
"R37","33K %5","TopLayer","RCA0516","32.0424","-100.9086","180",""
"R36","5K1","TopLayer","R1206","57.0724","-95.8487","0","RESISTOR , 5K1, 1/4W, 1%, 1206 PACKAGE"
"R35","33K %5","TopLayer","RCA0516","32.0424","-87.2686","180",""
"R20","33K %5","TopLayer","RCA0516","32.0424","-93.2886","180",""
"OP5","MOC3021","TopLayer","DIP6","62.5324","-113.3545","180",""
"OP4","PS2501L-1-HA","TopLayer","DIP4SMD","62.8674","-99.7038","0",""
"LD7","LTST C170 KGKT GRN","TopLayer","LED0805_GRN","69.1424","-114.4045","270",""
"KN4","RT_01T_1.5A","TopLayer","RT_01T_1.5A","-19.5576","-108.5286","270",""
"KN3","RT_01T_1.5A","TopLayer","RT_01T_1.5A","-19.5576","-116.1486","270",""
"KN2","RT_01T_1.5A","TopLayer","RT_01T_1.5A","-19.5576","-100.9086","270",""
"KN1","RT_01T_1.5A","TopLayer","RT_01T_1.5A","-19.5576","-93.2886","270",""
"F2","TK79","TopLayer","TK_79","1.5224","-108.5286","180",""
"F1","TK79","TopLayer","TK_79","1.5224","-93.2886","180",""
"C8","100NF 305VAC","TopLayer","CFR_F15_L18_B6_H12","16.8424","-115.5286","270",""
"BR1","","TopLayer","TO-269AA","49.3724","-95.8838","270",""
"VD4","Vida 3mm","TopLayer","Vida_3mm","-22.1330","-125.6814","0","Vida 3mm"
"R18","470R","TopLayer","R1206","0.3065","-69.3311","0","RESISTOR , 470R, 0.25W, 1%, 1206 PACKAGE"
"R2","470R","TopLayer","R1206","-9.9898","-77.3022","270","RESISTOR , 470R, 0.25W, 1%, 1206 PACKAGE"
"POWER","1730395","TopLayer","1730395","-16.6259","-74.0091","90","CONN,RECT,PLUG,5.08MM,1ROW,2P-TH,1730395"
"LD2","LTST C170 KGKT GRN","TopLayer","LED0805_GRN","-9.9898","-72.6022","270",""
"KO","2641P0401T","TopLayer","35312_4","0.4067","-76.8272","0",""
"R1","470R","TopLayer","R1206","1.8089","-31.7183","90","RESISTOR , 470R, 0.25W, 1%, 1206 PACKAGE"
"LD1","LTST C170 KGKT GRN","TopLayer","LED0805_GRN","1.8089","-36.4183","90",""
"LD6","LTST C170 KGKT GRN","TopLayer","LED0805_GRN","-10.1084","-38.8807","90",""
"OPT1","PS2501L-1-HA","TopLayer","DIP4SMD","-13.7317","-30.8418","90",""
"P6","xxxx","TopLayer","5.08_3pin","-9.9467","4.1926","0","CONN,RECT,PLUG,5.08MM,1ROW,3P-TH,xxx"
"R29","33K %5","TopLayer","RCA0516","-10.0267","-13.0574","90",""
"R28","470R","TopLayer","R1206","-15.0017","-38.8768","90","RESISTOR , 470R, 0.25W, 1%, 1206 PACKAGE"
"R30","33K %5","TopLayer","RCA0516","-4.9467","-13.0574","90",""
"R32","470R","TopLayer","R1206","-12.4615","-38.8768","270","RESISTOR , 470R, 0.25W, 1%, 1206 PACKAGE"
"STOP","1730395","TopLayer","1730395","68.6120","-13.1642","270","CONN,RECT,PLUG,5.08MM,1ROW,2P-TH,1730395"
"START","1730395","TopLayer","1730395","68.6120","-0.8192","270","CONN,RECT,PLUG,5.08MM,1ROW,2P-TH,1730395"
"RL1","12V 10A 85C","TopLayer","JS1","8.2100","-14.0359","90",""
"RL2","12V 10A 85C","TopLayer","JS1","26.3600","-14.0359","90",""
"R17","5K1","TopLayer","R1206","31.6225","-32.6522","180","RESISTOR , 5K1, 1/4W, 1%, 1206 PACKAGE"
"R14","5K1","TopLayer","R1206","31.6225","-29.9182","0","RESISTOR , 5K1, 1/4W, 1%, 1206 PACKAGE"
"R13","5K1","TopLayer","R1206","57.7740","-24.3192","90","RESISTOR , 5K1, 1/4W, 1%, 1206 PACKAGE"
"R25","5K1","TopLayer","R1206","49.7725","-32.6182","180","RESISTOR , 5K1, 1/4W, 1%, 1206 PACKAGE"
"R23","5K1","TopLayer","R1206","49.7725","-30.0182","0","RESISTOR , 5K1, 1/4W, 1%, 1206 PACKAGE"
"R11","5K1","TopLayer","R1206","60.2740","-17.0542","270","RESISTOR , 5K1, 1/4W, 1%, 1206 PACKAGE"
"R19","5K1","TopLayer","R1206","57.7740","-36.6642","90","RESISTOR , 5K1, 1/4W, 1%, 1206 PACKAGE"
"R3","5K1","TopLayer","R1206","57.7740","0.3708","90","RESISTOR , 5K1, 1/4W, 1%, 1206 PACKAGE"
"R7","470R","TopLayer","R1206","8.8426","-42.5022","270","RESISTOR , 470R, 0.25W, 1%, 1206 PACKAGE"
"R15","470R","TopLayer","R1206","26.9926","-42.5022","270","RESISTOR , 470R, 0.25W, 1%, 1206 PACKAGE"
"R21","5K1","TopLayer","R1206","60.2740","-41.7442","270","RESISTOR , 5K1, 1/4W, 1%, 1206 PACKAGE"
"R6","5K1","TopLayer","R1206","13.4725","-29.9182","0","RESISTOR , 5K1, 1/4W, 1%, 1206 PACKAGE"
"R31","5K1","TopLayer","R1206","57.7740","-61.3542","90","RESISTOR , 5K1, 1/4W, 1%, 1206 PACKAGE"
"R10","5K1","TopLayer","R1206","57.7740","-11.9742","90","RESISTOR , 5K1, 1/4W, 1%, 1206 PACKAGE"
"R26","5K1","TopLayer","R1206","57.7740","-49.0092","90","RESISTOR , 5K1, 1/4W, 1%, 1206 PACKAGE"
"R33","5K1","TopLayer","R1206","60.2740","-66.4342","270","RESISTOR , 5K1, 1/4W, 1%, 1206 PACKAGE"
"R4","5K1","TopLayer","R1206","60.2740","-4.7092","270","RESISTOR , 5K1, 1/4W, 1%, 1206 PACKAGE"
"R12","470R","TopLayer","R1206","24.4526","-42.5022","90","RESISTOR , 470R, 0.25W, 1%, 1206 PACKAGE"
"R5","470R","TopLayer","R1206","6.3026","-42.5022","90","RESISTOR , 470R, 0.25W, 1%, 1206 PACKAGE"
